Orgs,,label
"indian institute of tropical meteorology (iitm), pune","Indian Institute of Tropical Meteorology (IITM), Pune",0
departments,Departments,0
ministry of social justice and empowerment,Ministry of Social Justice and Empowerment,0
vardhman polytex ltd.    ,VARDHMAN POLYTEX LTD.    ,1
the phoenix mills ltd    ,THE PHOENIX MILLS LTD    ,1
rashtriya rifles,Rashtriya Rifles,0
siti networks limited    ,SITI NETWORKS LIMITED    ,1
ortel communications ltd ,ORTEL COMMUNICATIONS LTD ,1
sundaram brak linings ltd,SUNDARAM BRAK LININGS LTD,1
spic ltd                 ,SPIC LTD                 ,1
indian renewable energy development agency limited (ireda),Indian Renewable Energy Development Agency Limited (IREDA),0
entertain net. ind. ltd. ,ENTERTAIN NET. IND. LTD. ,1
industrial organisations,Industrial Organisations,0
rashtriya ispat nigam limited (rinl),Rashtriya Ispat Nigam Limited (RINL),0
gemini comm. ltd         ,GEMINI COMM. LTD         ,1
corporation bank         ,CORPORATION BANK         ,1
"craftsmen training scheme, industrial training institute","Craftsmen Training Scheme, Industrial training institute",0
small industry extension training),Small Industry Extension Training),0
bhansali eng. polymers lt,BHANSALI ENG. POLYMERS LT,1
reserve bank of india (rbi),Reserve Bank of India (RBI),0
"isro telemetry, tracking and command network (istrac), bangalore.","ISRO Telemetry, Tracking and Command Network (ISTRAC), Bangalore.",0
precot meridian limited  ,PRECOT MERIDIAN LIMITED  ,1
apollo sindoori hotel ltd,APOLLO SINDOORI HOTEL LTD,1
ministry of co-operation,Ministry of Co-operation,0
distance education and scholarships,Distance Education and Scholarships,0
"organisational structure: the department is divided into eight bureaus, and most of the work of the","Organisational structure: The department is divided into eight bureaus, and most of the work of the",0
singareni collieries company limited (sccl),Singareni Collieries Company Limited (SCCL),0
indian weightlifting federation,Indian Weightlifting Federation,0
automotive axles limited ,AUTOMOTIVE AXLES LIMITED ,1
"national zoological park (nzp), new delhi","National Zoological Park (NZP), New Delhi",0
hind rectifier limited   ,HIND RECTIFIER LIMITED   ,1
hisar metal ind. limited ,HISAR METAL IND. LIMITED ,1
brooks lab limited       ,BROOKS LAB LIMITED       ,1
ministry of ayush,Ministry of AYUSH,0
tata consultancy serv lt ,TATA CONSULTANCY SERV LT ,1
aeronautical development agency,Aeronautical Development Agency,0
"indira gandhi national forest academy (ignfa), dehradun","Indira Gandhi National Forest Academy (IGNFA), Dehradun",0
west coast paper mills lt,WEST COAST PAPER MILLS LT,1
voltas ltd               ,VOLTAS LTD               ,1
patel int. log. ltd      ,PATEL INT. LOG. LTD      ,1
dhanlaxmi bank limited   ,DHANLAXMI BANK LIMITED   ,1
rpg life sciences ltd    ,RPG LIFE SCIENCES LTD    ,1
digjam limited           ,DIGJAM LIMITED           ,1
bombay burmah trading cor,BOMBAY BURMAH TRADING COR,1
bharatiya global info ltd,BHARATIYA GLOBAL INFO LTD,1
britannia industries ltd ,BRITANNIA INDUSTRIES LTD ,1
mcleod russel india ltd. ,MCLEOD RUSSEL INDIA LTD. ,1
bsl ltd                  ,BSL LTD                  ,1
5paisa capital limited   ,5PAISA CAPITAL LIMITED   ,1
tata steel limited       ,TATA STEEL LIMITED       ,1
central electricity regulatory commission (cerc),Central Electricity Regulatory Commission (CERC),0
thermax ltd              ,THERMAX LTD              ,1
defence exhibition organisation (deo),Defence Exhibition Organisation (DEO),0
max ventures and inds ltd,MAX VENTURES AND INDS LTD,1
himalayan forest research institute,Himalayan Forest Research Institute,0
genus power infrastru ltd,GENUS POWER INFRASTRU LTD,1
appellate tribunal for foreign exchange,Appellate Tribunal for Foreign Exchange,0
hdfc ltd                 ,HDFC LTD                 ,1
(chemexcil),(CHEMEXCIL),0
pilani inv & ind cor ltd ,PILANI INV & IND COR LTD ,1
bureau of energy efficiency (bee),Bureau of Energy Efficiency (BEE),0
anjani portland cem ltd  ,ANJANI PORTLAND CEM LTD  ,1
chennai petroleum corp lt,CHENNAI PETROLEUM CORP LT,1
trib bhimji zaveri ltd   ,TRIB BHIMJI ZAVERI LTD   ,1
employees state insurance corporation (esic),Employees State Insurance Corporation (ESIC),0
pharmaceutical export promotion council (pharmexcil),Pharmaceutical Export Promotion Council (Pharmexcil),0
council in india.,council in India.,0
sequent scientific ltd.  ,SEQUENT SCIENTIFIC LTD.  ,1
muthoot cap serv ltd     ,MUTHOOT CAP SERV LTD     ,1
mas financial serv ltd   ,MAS FINANCIAL SERV LTD   ,1
matrimony.com limited    ,MATRIMONY.COM LIMITED    ,1
asian paints limited     ,ASIAN PAINTS LIMITED     ,1
"central drug research institute (cdri), lucknow","Central Drug Research Institute (CDRI), Lucknow",0
pvr limited              ,PVR LIMITED              ,1
professional councils,Professional councils,0
avanti feeds limited     ,AVANTI FEEDS LIMITED     ,1
union public service commission (upsc),Union Public Service Commission (UPSC),0
"national remote sensing centre (nrsc), hyderabad.","National Remote Sensing Centre (NRSC), Hyderabad.",0
kothari products ltd     ,KOTHARI PRODUCTS LTD     ,1
jain irrigation systems  ,JAIN IRRIGATION SYSTEMS  ,1
defence intelligence agency,Defence Intelligence Agency,0
office of the economic adviser,Office of the Economic Adviser,0
ece industries ltd.      ,ECE INDUSTRIES LTD.      ,1
"national power training institute (npti), faridabad, haryana","National Power Training Institute (NPTI), Faridabad, Haryana",0
bajaj hindusthan sugar lt,BAJAJ HINDUSTHAN SUGAR LT,1
delta magnets limited    ,DELTA MAGNETS LIMITED    ,1
murudeshwar ceramics ltd ,MURUDESHWAR CERAMICS LTD ,1
wrestling federation of india (wfi),Wrestling Federation of India (WFI),0
directorate of air intelligence,Directorate of Air Intelligence,0
reliance industrial infra,RELIANCE INDUSTRIAL INFRA,1
mawana sugars limited    ,MAWANA SUGARS LIMITED    ,1
hindalco  industries  ltd,HINDALCO  INDUSTRIES  LTD,1
navin fluorine int. ltd  ,NAVIN FLUORINE INT. LTD  ,1
military,Military,0
state bank of india      ,STATE BANK OF INDIA      ,1
tamilnadu telecommunicati,TAMILNADU TELECOMMUNICATI,1
"25 indian institutes of information technology (iiits) (allahabad, gwalior, jabalpur,","25 Indian Institutes of Information Technology (IIITs) (Allahabad, Gwalior, Jabalpur,",0
coffee day enterprise ltd,COFFEE DAY ENTERPRISE LTD,1
standard industries ltd. ,STANDARD INDUSTRIES LTD. ,1
debts recovery appellate tribunal,Debts Recovery Appellate Tribunal,0
repro india limited      ,REPRO INDIA LIMITED      ,1
indira gandhi national centre for the arts (ignca),Indira Gandhi National Centre for the Arts (IGNCA),0
easun reyrolle ltd       ,EASUN REYROLLE LTD       ,1
all india carrom federation (aicf),All India Carrom Federation (AICF),0
institute of forest productivity,Institute of Forest Productivity,0
kesar ter & infra ltd    ,KESAR TER & INFRA LTD    ,1
rashtriya sanskrit vidyapeeth (rsv) tirupati,Rashtriya Sanskrit Vidyapeeth (RSV) Tirupati,0
techindia nirman limited ,TECHINDIA NIRMAN LIMITED ,1
palred technologies ltd  ,PALRED TECHNOLOGIES LTD  ,1
nila infrastructures ltd ,NILA INFRASTRUCTURES LTD ,1
committee for consultations on the situation in andhra pradesh (ccsap),Committee for Consultations on the Situation in Andhra Pradesh (CCSAP),0
allsec technologies ltd  ,ALLSEC TECHNOLOGIES LTD  ,1
national minorities development and finance corporation (nmdfc),National Minorities Development and Finance Corporation (NMDFC),0
[9],[9],0
tamilnadu newsprt & paper,TAMILNADU NEWSPRT & PAPER,1
capacite infraproject ltd,CAPACITE INFRAPROJECT LTD,1
r.p.p infra projects ltd ,R.P.P INFRA PROJECTS LTD ,1
hubtown limited          ,HUBTOWN LIMITED          ,1
balrampur chini mills ltd,BALRAMPUR CHINI MILLS LTD,1
icici bank ltd.          ,ICICI BANK LTD.          ,1
indian council of historical research (ichr),Indian Council of Historical Research (ICHR),0
sathavahana ispat ltd    ,SATHAVAHANA ISPAT LTD    ,1
directorate general of married accommodation project (dg map),Directorate General of Married Accommodation Project (DG MAP),0
seamec limited           ,SEAMEC LIMITED           ,1
tariff commission,Tariff Commission,0
jk lakshmi cement ltd    ,JK LAKSHMI CEMENT LTD    ,1
sms lifesciences (i) ltd ,SMS LIFESCIENCES (I) LTD ,1
chief commissioner for persons with disabilities,Chief Commissioner for Persons with Disabilities,0
diamond power infra ltd  ,DIAMOND POWER INFRA LTD  ,1
dcw ltd                  ,DCW LTD                  ,1
shiva texyarn limited    ,SHIVA TEXYARN LIMITED    ,1
council for leather exports,Council for Leather Exports,0
de nora india limited    ,DE NORA INDIA LIMITED    ,1
rites limited            ,RITES LIMITED            ,1
central board for workers education *,central board for workers education *,0
department of information technology,Department of Information Technology,0
hb stockholdings limited ,HB STOCKHOLDINGS LIMITED ,1
wockhardt limited        ,WOCKHARDT LIMITED        ,1
other,Other,0
gujarat alkalies & chem  ,GUJARAT ALKALIES & CHEM  ,1
urja global limited      ,URJA GLOBAL LIMITED      ,1
gmr infrastructure ltd.  ,GMR INFRASTRUCTURE LTD.  ,1
icici pru life ins co ltd,ICICI PRU LIFE INS CO LTD,1
ministry of mines,Ministry of Mines,0
tci developers limited   ,TCI DEVELOPERS LIMITED   ,1
nila spaces limited      ,NILA SPACES LIMITED      ,1
rampur raza library,Rampur Raza Library,0
central institute of petrochemical engineering and technology (cipet),Central Institute of Petrochemical Engineering and Technology (CIPET),0
vikas ecotech limited    ,VIKAS ECOTECH LIMITED    ,1
itd cementation india ltd,ITD CEMENTATION INDIA LTD,1
department of family welfare,Department of Family Welfare,0
gyscoal alloys ltd       ,GYSCOAL ALLOYS LTD       ,1
artem global life sc ltd ,ARTEM GLOBAL LIFE SC LTD ,1
mindtree limited         ,MINDTREE LIMITED         ,1
directorate of advertising and visual publicity,Directorate of Advertising and Visual Publicity,0
sakthi sugars ltd        ,SAKTHI SUGARS LTD        ,1
national archives of india (nai),National Archives of India (NAI),0
den networks ltd         ,DEN NETWORKS LTD         ,1
intellectual property appellate board (ipab),Intellectual Property Appellate Board (IPAB),0
magnum ventures ltd.     ,MAGNUM VENTURES LTD.     ,1
symphony limited         ,SYMPHONY LIMITED         ,1
central information commission,Central Information Commission,0
gujarat mineral dev corp ,GUJARAT MINERAL DEV CORP ,1
birla corporation ltd    ,BIRLA CORPORATION LTD    ,1
guj ind pow co. ltd      ,GUJ IND POW CO. LTD      ,1
indian revenue service,Indian Revenue Service,0
tv vision limited        ,TV VISION LIMITED        ,1
ruchi soya industries ltd,RUCHI SOYA INDUSTRIES LTD,1
swan energy limited      ,SWAN ENERGY LIMITED      ,1
binani industries ltd    ,BINANI INDUSTRIES LTD    ,1
"autonomous bodies, boards & corporations","Autonomous Bodies, Boards & Corporations",0
kesoram industries ltd   ,KESORAM INDUSTRIES LTD   ,1
national institute of criminology and forensic sciences,National Institute of Criminology and Forensic Sciences,0
department of programme implementation,Department of Programme Implementation,0
suzlon energy limited    ,SUZLON ENERGY LIMITED    ,1
indiabulls integr ser ltd,INDIABULLS INTEGR SER LTD,1
offices,Offices,0
advanced research centre for bamboo and rattan,Advanced Research Centre for Bamboo and Rattan,0
ansal housing limited    ,ANSAL HOUSING LIMITED    ,1
shriram transport fin co.,SHRIRAM TRANSPORT FIN CO.,1
bharat wire ropes ltd.   ,BHARAT WIRE ROPES LTD.   ,1
ptc india fin serv ltd   ,PTC INDIA FIN SERV LTD   ,1
kalyani invest co ltd    ,KALYANI INVEST CO LTD    ,1
indian council of social science research (icssr),Indian Council of Social Science Research (ICSSR),0
sagar cements limited    ,SAGAR CEMENTS LIMITED    ,1
indian overseas bank     ,INDIAN OVERSEAS BANK     ,1
damodar valley corporation (dvc),Damodar Valley Corporation (DVC),0
sharda motor inds ltd    ,SHARDA MOTOR INDS LTD    ,1
gulshan polyols limited  ,GULSHAN POLYOLS LIMITED  ,1
directorate general of central excise intelligence,Directorate General of Central Excise Intelligence,0
gail (india) ltd         ,GAIL (INDIA) LTD         ,1
shilpa medicare ltd      ,SHILPA MEDICARE LTD      ,1
huhtamaki ppl limited    ,HUHTAMAKI PPL LIMITED    ,1
asiatic society,Asiatic Society,0
kilitch drugs india ltd  ,KILITCH DRUGS INDIA LTD  ,1
national council of vocational education and training (ncvet),National council of vocational education and training (NCVET),0
textiles research associations,Textiles Research Associations,0
india glycols ltd        ,INDIA GLYCOLS LTD        ,1
cholamandalam in & fin co,CHOLAMANDALAM IN & FIN CO,1
building materials and technology promotion council (bmtpc),Building Materials and Technology Promotion Council (BMTPC),0
20 indian institutes of management (iims)[6],20 Indian Institutes of Management (IIMs)[6],0
intelligence bureau (ib) (internal),Intelligence Bureau (IB) (internal),0
executive arm,Executive Arm,0
ambika cotton mill ltd.  ,AMBIKA COTTON MILL LTD.  ,1
refex industries limited ,REFEX INDUSTRIES LIMITED ,1
reliance infrastructu ltd,RELIANCE INFRASTRUCTU LTD,1
apollo micro systems ltd ,APOLLO MICRO SYSTEMS LTD ,1
uttam value steels ltd   ,UTTAM VALUE STEELS LTD   ,1
pudumjee paper pro. ltd  ,PUDUMJEE PAPER PRO. LTD  ,1
directorate of military intelligence,Directorate of Military Intelligence,0
national centre for cold-chain development (nccd) - autonomous agency under ppp,National Centre for Cold-chain Development (NCCD) - Autonomous agency under PPP,0
sterling tools limited   ,STERLING TOOLS LIMITED   ,1
prabhat dairy limited    ,PRABHAT DAIRY LIMITED    ,1
videocon industries limit,VIDEOCON INDUSTRIES LIMIT,1
reliance home finance ltd,RELIANCE HOME FINANCE LTD,1
bajaj auto limited       ,BAJAJ AUTO LIMITED       ,1
mode of functioning.,mode of functioning.,0
export inspection agency-kochi,Export Inspection Agency-Kochi,0
adroit infotech limited  ,ADROIT INFOTECH LIMITED  ,1
the state trading corpn  ,THE STATE TRADING CORPN  ,1
apcotex industries limite,APCOTEX INDUSTRIES LIMITE,1
national commission for scheduled tribes (ncst),National Commission for Scheduled Tribes (NCST),0
vivimed labs limited     ,VIVIMED LABS LIMITED     ,1
biocon limited.          ,BIOCON LIMITED.          ,1
cybertech systems & softw,CYBERTECH SYSTEMS & SOFTW,1
sunil hitech engr. ltd   ,SUNIL HITECH ENGR. LTD   ,1
ramkrishna forgings ltd  ,RAMKRISHNA FORGINGS LTD  ,1
central reserve police force,Central Reserve Police Force,0
photo division,Photo Division,0
engineers india ltd      ,ENGINEERS INDIA LTD      ,1
income tax appellate tribunal (itat),Income Tax Appellate Tribunal (ITAT),0
"bhabha atomic research centre (barc), mumbai, following research institutions affiliated","Bhabha Atomic Research Centre (BARC), Mumbai, following Research institutions affiliated",0
motilal oswal fin ltd    ,MOTILAL OSWAL FIN LTD    ,1
spencer's retail limited ,SPENCER'S RETAIL LIMITED ,1
va tech wabag ltd        ,VA TECH WABAG LTD        ,1
atul auto limited        ,ATUL AUTO LIMITED        ,1
lakshmi machines ltd     ,LAKSHMI MACHINES LTD     ,1
adani enterprises limited,ADANI ENTERPRISES LIMITED,1
indbank merch bank       ,INDBANK MERCH BANK       ,1
mohit industries ltd     ,MOHIT INDUSTRIES LTD     ,1
cosmo films ltd          ,COSMO FILMS LTD          ,1
sandesh ltd              ,SANDESH LTD              ,1
institute of secretariat training and management (istm),Institute of Secretariat Training and Management (ISTM),0
aarti drugs ltd.         ,AARTI DRUGS LTD.         ,1
karur vysya bank ltd     ,KARUR VYSYA BANK LTD     ,1
tanla solutions limited  ,TANLA SOLUTIONS LIMITED  ,1
talwalkars healthclub ltd,TALWALKARS HEALTHCLUB LTD,1
department of economic affairs,Department of Economic Affairs,0
ester industries ltd     ,ESTER INDUSTRIES LTD     ,1
bharat forge ltd         ,BHARAT FORGE LTD         ,1
emkay global fin serv ltd,EMKAY GLOBAL FIN SERV LTD,1
"institute of physics, bhubaneswar","Institute of Physics, Bhubaneswar",0
mmtc limited             ,MMTC LIMITED             ,1
"(bhopal,","(Bhopal,",0
central council of homoeopathy (cch),Central Council of Homoeopathy (CCH),0
autonomous r&d institution under mnre,Autonomous R&D Institution under MNRE,0
parabolic drugs ltd      ,PARABOLIC DRUGS LTD      ,1
regencyceramics-ltd      ,REGENCYCERAMICS-LTD      ,1
dwarikesh sugar ind ltd  ,DWARIKESH SUGAR IND LTD  ,1
directorate general of economic enforcement,Directorate General of Economic Enforcement,0
seshasayee paper & boards,SESHASAYEE PAPER & BOARDS,1
centum electronics ltd   ,CENTUM ELECTRONICS LTD   ,1
madras fertilisers ltd   ,MADRAS FERTILISERS LTD   ,1
shre push chem & fert ltd,SHRE PUSH CHEM & FERT LTD,1
hsil limited             ,HSIL LIMITED             ,1
tvs srichakra limited    ,TVS SRICHAKRA LIMITED    ,1
gayatri projects ltd     ,GAYATRI PROJECTS LTD     ,1
sterlite technologies ltd,STERLITE TECHNOLOGIES LTD,1
defence security corps,Defence Security Corps,0
patel engineering ltd.   ,PATEL ENGINEERING LTD.   ,1
wheels india ltd         ,WHEELS INDIA LTD         ,1
ceat limited             ,CEAT LIMITED             ,1
hindustan aeronautics ltd,HINDUSTAN AERONAUTICS LTD,1
dilip buildcon limited   ,DILIP BUILDCON LIMITED   ,1
petron engg construct ltd,PETRON ENGG CONSTRUCT LTD,1
national library of india,National Library of India,0
kansai nerolac paints ltd,KANSAI NEROLAC PAINTS LTD,1
nahar spinning mills ltd.,NAHAR SPINNING MILLS LTD.,1
mercator limited         ,MERCATOR LIMITED         ,1
allied digital serv. ltd ,ALLIED DIGITAL SERV. LTD ,1
williamson magor         ,WILLIAMSON MAGOR         ,1
department of chemicals and petro-chemicals,Department of Chemicals and Petro-Chemicals,0
tcns clothing co. limited,TCNS CLOTHING CO. LIMITED,1
om metals infrapro ltd   ,OM METALS INFRAPRO LTD   ,1
zodiac clothing co. ltd. ,ZODIAC CLOTHING CO. LTD. ,1
nava bharat ventures limi,NAVA BHARAT VENTURES LIMI,1
national investigation agency ( nia ),National Investigation Agency ( NIA ),0
sita shree food prod ltd ,SITA SHREE FOOD PROD LTD ,1
coal india (cil),Coal India (CIL),0
celestial biolabs ltd    ,CELESTIAL BIOLABS LTD    ,1
agarwal inds corp ltd.   ,AGARWAL INDS CORP LTD.   ,1
bf utilities limited     ,BF UTILITIES LIMITED     ,1
future supp chain sol ltd,FUTURE SUPP CHAIN SOL LTD,1
63 moons technologies ltd,63 MOONS TECHNOLOGIES LTD,1
